Rating,Author,Author Location,Review Date,Review Title,Review,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value for Money,Recommended Service
1.0,Christian Mahncke,Switzerland,2022-07-23,No customer service,"✅ Trip Verified |  Absolute horror airline to fly with. No customer service, you cannot speak to anyone in person, only by email, and they never helpful. Our luggage was lost on Day 1 of our travels, 26 June, and is still missing 4 weeks. It’s either in Addis Ababa or Frankfurt, they not sure! I bid on business class upgrades, which were declined, which is fine. But as we started the 2nd leg of our flight we get presented with business class tickets that we had not requested, but we now had to pay for.",Family Leisure,Economy Class,Cape Town to Addis Ababa,2022-06-01,3.0,2.0,1.0,3.0,1.0,1,no
4.0,James Lotriet Best,Switzerland,2022-07-23,unable to say where the bags are,"✅ Trip Verified |  Had a very good flight to Bangkok and back with friendly hostesses and adequate food. When we landed in Cape Town from Bangkok non of our luggage arrived with us with no one able to say where it is or when it would arrive (25-30 passengers had the same problem on this flight). Had to spend lots of money on locksmiths and toiletries as all ours were in our travel luggage. Ethiopian Airways contact center is very difficult to reach, they keep you on hold for almost an hour then it just hangs up. After eventually making contact with the call center a day later they are unable to say where the bags are or if they even have the bags and that they will only offer compensation if they haven’t been able to locate the bags after 25 days. This means we have to buy new clothes and shoes as most of ours were in our luggage with absolutely no assurance or compensation from the airline. It seems like lost luggage is a regular problem on the airline with very poor communication or restorative measures I wouldn’t recommend using the airline",Couple Leisure,Economy Class,Bangkok to Cape Town via Addis Ababa,2022-07-01,4.0,4.0,3.0,3.0,4.0,3,no
7.0,Francis Van der Mosen,Switzerland,2022-07-22,lack of friendliness at the check-in,"Not Verified |  I can only complain about the lack of friendliness at the check-in counter. I flew with Ethiopian Airlines 3 times over the past 6 months and that aspect has been a great disappointment time and again, and last time the check-in lady lost one of my boarding tickets. I asked her where the other ticket was. She assured me she'd given me both. I said I was sure she had only given me one. After insisting the problem was on her side she looked down on the floor, picked up the ticket and apologized and then enough smiled for the first time.  They are some of my favourite crew on board but my word, at the check-in counter, it is something else...",Solo Leisure,Economy Class,Mombasa to Brussels via Addis Ababa,2022-07-01,4.0,5.0,4.0,3.0,1.0,4,yes
1.0,Aliuska Nkambule,Switzerland,2022-07-18,everything that can be wrong,"✅ Trip Verified |  The only good thing about this airline is that it got us from point A to point B without physical damage. You will find everything that can be wrong with a flight here. The stewardesses are more of a hindrance than a help, they look at you and speak badly, that's when they pay attention to you, they have zero vocation to help. I felt like I was sitting on a wooden board. I was sweating because the air conditioners don't work, the cleanliness is questionable, the headphones didn't work. All a headache. Spend a few pesos more but it's not worth the ""cheap"" prices you pay. They are stingy even for water. it was horrible. Lo único bueno de esta aerolínea es que nos llevó de punto A a punto B sin daños físicos. Todo lo que puede estar mal con un vuelo aquí lo vas a encontrar. Las azafatas son un estorbo más que una ayuda, te miran y hablan mal, eso es cuando te prestan atención, tienen cero vocación de ayuda. Sentí que venía sentada en una tabla de madera. Venía sudando porque los aires no funcionan, la limpieza es cuestionable, los audífonos no funcionaban. Un dolor de cabeza todo. Gástese unos pesos más pero no merece la pena los precios “baratos” que pagas. Son tacaños hasta para el agua. Fue horribleeee",Couple Leisure,Economy Class,Bangkok to Addis Ababa,2022-07-01,1.0,1.0,1.0,0.0,1.0,1,no
1.0,Christian Mahncke,Switzerland,2022-07-15,Absolute horror trip!,"✅ Trip Verified | Absolute horror trip! No communication and no customer support. We flew to Frankfurt and our connecting flight to Hamburg was cancelled. We went on by train but our luggage went missing! No help from the airline and 3 weeks later still no luggage. All we get told is that they are still searching! Then we bid for an upgrade to business class. We got sent an email that we did not the upgrade, but as we step on the plane suddenly they billed us for business class by sending us an email while we are on the plane! How were we supposed to receive this email while we on the plane? When I said I don’t want the upgrade because the email from them said we were not successful in getting the upgrade, they replied that they had given our economy tickets away! And no one will help. Not with the luggage, they don’t even know where it is, nor about the miraculous upgrade. Don’t touch this airline. Their cheaper tickets have turned into the most expensive tickets!",Family Leisure,Economy Class,Cape Town to Hamburg via Frankfurt,2022-07-01,1.0,1.0,1.0,1.0,1.0,1,no
1.0,M Larramiya,Switzerland,2022-07-14,One of her bags never arrived,"✅ Trip Verified |  I needed to book for my mother-in-law urgently to travel with someone from Dubai to Johannesburg. One of her bags never arrived and we lodged a complaint, they promised to come back to us within 7 days and we waited, and until today (July 14, 2022) no response. I tried calling all the phone numbers they provided together with the ones I got from their website, but no answer or the phone number doesn't work. I sent them an email, but no response. If you lose your bag, there is no communication with them after the flight.",Solo Leisure,Economy Class,Dubai to Johannesburg via Addis Adaba,2022-07-01,0.0,0.0,0.0,0.0,1.0,1,no
2.0,K Alam,Switzerland,2022-07-11,You definitely get what you are paying for,"✅ Trip Verified | Beware! If you buy a one-way ticket from this airline, they can refuse check-in at the airport counter on the grounds that you must have a return ticket also from Ethiopian Airlines. There is zero information about this when purchasing a one-way ticket on their website, I double-checked the whole policy wording and will definitely file a complaint with the local regulator. They just inform you about this ridiculous ""rule"" during check-in, and you will have to quickly book and pay a return ticket from your mobile. The ticket can be refunded later, yes, but with a refund fee - in my case, the fee was about EUR 500 for 3 persons. As for the flight itself, the food was terrible, and absolutely the same on both flight segments. The entertainment screen did not work in both cases. You definitely get what you are paying for.",Family Leisure,Economy Class,Dubai to Seoul via Addis Ababa,2022-07-01,2.0,2.0,1.0,1.0,2.0,1,no
2.0,Tim Harris,Switzerland,2022-06-30,"Don't fall for the cheap prices, you will pay for it in other ways","Not Verified |  I flew Ethiopian Airlines roundtrip from Toronto-Nairobi and back. In Kenya I bought another Ethiopian Airlines to Cairo - roundtrip. My experiences were horrible and despicable to say the least. First, on my return trip to Nairobi from Cairo, a big roach fell out of my food tray. I brought the attention of the cabin crew who took my boarding pass, took a picture and promised to file a report. Nothing happened! Then on my return flight to Toronto, I paid for a seat in premium economy for extra leg room. The money was charged to my credit card. When I got to the airport, they couldn't find my ticket and had to wait 2 hours for them to figure it out. They finally did and I was issued a boarding pass for the flight. In Addis Ababa, I presented my boarding pass and was told there is a seat change. I thought they were upgrading my seat due to the roach incident and the delay in Nairobi. Nope! They rather downgraded me and gave my seat to another passenger. When I protested I was threatened by a very unprofessional, rude and disrespectful agent at the counter. They threatened to unload my luggage from the plane if I do not take the downgraded seat assigned to me. Bottom line, Ethiopian Airlines in the absolute worst airline. Don't fall for the cheap prices, you will pay for it in other ways. Rude staff and poor service. Staff - cabin crew, ground staff etc, all need a lesson in customer service. Now I will try to see if they refund my upgrade fees.",Couple Leisure,Economy Class,Nairobi to Toronto,2022-06-01,1.0,1.0,1.0,1.0,1.0,1,no
9.0,Justin Meyer,Switzerland,2022-06-18,my experience with Ethiopian Airlines was excellent,"✅ Trip Verified | Overall my experience with Ethiopian Airlines was excellent. The planes were modern and comfortable, the flight attendants were courteous and the food was pretty good. Great in-flight entertainment too. Price was a big factor in choosing them for my trip to London and back and as the cheapest option the value I received was exceptional. I would 100% fly them again and intend to next time I make a trip with them as one of the available carriers.",Solo Leisure,Economy Class,London to Addis Ababa via Cape Town,2022-06-01,4.0,4.0,4.0,5.0,4.0,5,yes
5.0,M Gari,Switzerland,2022-05-30,"not welcoming, some were rude","✅ Trip Verified |  Check in went really well. When it was time to board though, the cabin crew were not welcoming, some were rude. I understand that people might not always be in a good mood, but they should also understand that we didn't do anything and all we're looking for is a safe and peaceful trip. When I got to my seat, the top cabin for Hand luggage was already filled by other passengers. I asked for assistance, but it wasn't well received by the crew. Imagine. I hope my next trip will be better than this experience.",Family Leisure,Economy Class,Washington to Addis Ababa,2022-05-01,3.0,2.0,3.0,3.0,4.0,2,no
9.0,Paul Mercer,Switzerland,2022-05-29,would not hesitate to fly them again,"✅ Trip Verified | Check-in went smoothly and was opened 4 hours before the flight. Boarding was a relatively painless process and although masks were required a lot of passengers were not wearing them at the end of the flight. The aircraft was clean although some of the IFE screens stopped working (see picture) mid-flight. The meal was a lot more tasty than it looks – I opted for fish – but options had ran out for the passengers at the back and they were left with just pasta. I had a small bottles of euro wine which was probably undrinkable at ground level but was OK at 36,000 feet. We had fruit and a croissant for breakfast. Exiting the flight was slow largely because of the amount of hand baggage that was allowed. Overall it was good-value flight with some significant issues and the option of two 23kg bags for the basic economy price. I have flown Ethiopian several times – in both business and economy – and would not hesitate to do so again.",Business,Economy Class,London to Addis Ababa,2022-05-01,4.0,5.0,0.0,2.0,4.0,5,yes
4.0,Francis Wong,Switzerland,2022-05-04,maintenance and cleanliness is a disgrace,"✅ Trip Verified |  Although this is an 787, one of the newer aircrafts of Ethiopian airlines, the maintenance and the cleanliness is a disgrace. Service is OK, crew weren't enthusiastic, but at least got the job done. Seats are OK, considered it's 3x3x3. Many seats have malfunctioned entertainment systems. The meals were so so. The toilet is not kept clean and in a sorrowful state. All the windows on the left side of the plane failed to darken, causing passengers on that side suffering from too much glare form the sunlight, many had to use their pillow to block the window, which was funny to see. Lucky for me this is only a 2 hour flight. The plane touched down in HK airport very roughly with a loud thug and a huge bump, which startled and frightened all of us. For safety and hygiene reasons, I won't fly with them again.",Solo Leisure,Economy Class,Bangkok to Hong Kong,2022-05-01,3.0,3.0,2.0,2.0,4.0,3,no
1.0,Maja Novak,Switzerland,2022-05-04,We had to sit separately,"Not Verified |  This was the worst airline I have travelled long distance. Neither flight was I able to sit together with my partner (all together we had 4 flights). We had to sit separately. The seats were broken. The seats in the last row were absolutely ruined, full of springs, on the way back my seat was not fixed - I could remove seating area. I also could not lean back my seat so for 5 hours I needed to sit straight up, sitting between two strong men who took up even 1/4 of my space from each side - it was the same on 2 flights. The seating area is narrow, not comfortable. One plane did not have entertainment so they say we can watch it on our smart phones but it did not work. The food was not good, they ran out of white wine. Stewardesses were not as kind as other airlines.  Overall I hope I would never fly with this company again.",Couple Leisure,Economy Class,Vienna to Seychelles via Ethiopia,2022-05-01,1.0,1.0,2.0,1.0,3.0,1,no
7.0,Alana Brangman,Switzerland,2022-04-28,helped us when we needed it most,"Not Verified |  My dad, sister, uncle and I are traveling to Harare and had a layover in Addis Ababa. We arrived at the airport just fine after a 12 hour flight and were in line to board our connecting flight when we realized we misplaced my sister’s passport. We were not able to board. Once we found her passport we were trying to book with the same flight the following day and the man at the customer service desk had an attitude as soon as he saw us and ignored us. He tried to charge us $300 each for switching the flight because he was clearly frustrated we missed it. Another staff went out of her way to check on us and confirm we found the passport. She then helped us get our flight switched without the ridiculous penalty fee that the rude customer employee was trying to charge for no reason. She is an amazing employee who helped us when we needed it most!",Family Leisure,Economy Class,Washington to Harare via Addis Ababa,2022-04-01,2.0,4.0,4.0,2.0,5.0,4,yes
1.0,R Pardelo,Switzerland,2022-04-20,waiting for compensation for 4 months,"✅ Trip Verified |  Milan to Accra via Addis Ababa. I have been waiting for compensation for 4 months and the status is always ""pending airline approval"".  And it’s clear they won’t do anything about it.",Couple Leisure,Economy Class,Milan to Accra via Addis Ababa,2021-12-01,0.0,0.0,0.0,0.0,0.0,1,no
1.0,N Gairez,Switzerland,2022-04-16,I am still waiting for a refund,"✅ Trip Verified |  4 months later and no refund. Do not use this airline. You can lose your money. They constantly change the date of your booked flights and even cancel your flight and rebook it without the passengers consent. They don't answer calls, emails or respond on their chatbot. They cancelled my flight without a reason so I requested a refund and they Charged me a Cancellation Fee and I am still waiting for a refund. Don't be tempted by their cheaper flight fees, its not worth it. Its stressful dealing with them with all the uncertainty of sudden changes.",Solo Leisure,Economy Class,Incheon to Cape Town via Addis Ababa,2022-01-01,0.0,0.0,0.0,0.0,0.0,1,no
3.0,Titi Kebede,Switzerland,2022-04-12,My experience was not a pleasant one to say the least,"Not Verified |  I used the airline App to purchase a ticket one month before my travels from the United States to Ethiopia and was able to reserve a specific seat at the same time. I reserved seat 50L because of my high blood pressure condition. I needed to be seated away from any active passengers to ensure I would be able to have enough sleep which was necessary due to my medical condition. On the day of my travel to Ethiopia I went to check in and discovered my seat was changed from 50L to 13B which was next to children and was in the middle. I spoke with your ticketing agent at the airport who was not willing to assist me. I then spoke to a Manager who told me they are not selling seats but are selling tickets and that seat reservations made in advance didn’t really matter. I was almost crying because the airline staff were very rude and not willing to assist me at all. I feel they were calling me a liar telling me that I had not reserved seat 50L. Another passenger who overheard my conversation with your Manager gave me her seat which helped with my situation. Once I arrived in Ethiopia I went to the Addis Ababa office Which is the one in Addis Ababa to speak with someone concerning the negative experience I had with my seat reservation. Your staff member took my statement and I was told by her that I would receive an email containing the report your staff member had written. As of today, I have not received an email. I then asked her for assistance with my seat reservation for my return flight. She confirmed seat 50L was reserved for me and apologized for the negative experience I had on my flight to Ethiopia. Three days prior to my return flight back to the United States, I checked to confirm once again that I was seated in seat 50L. I then discovered that my seat reservation had been changed to seat 27B. I was really upset and when I contacted your airline I was told my seat had changed due to a change in the aircraft for the return flight. I asked why your airline does not send out an email when they change a passengers seat reservation, the agent on the phone for your airline told me that the best seat is always given to a Crew member. I was completely was shocked to hear that. I went to the Ethiopian Airlines office again to fix my seat reservation to what your agent had reserved for me. I spent three days of my vacation going from one office to another office to resolve my seat reservation problem as your App was giving me a system error. My negative experience with Ethiopia Airlines makes it less likely that I will use your airline for my travels to Ethiopia. I feel your management team needs additional training in customer service and your reservation system needs to be looked at so that your customers are alerted via email when their seat reservation has been changed. My experience with Ethiopia Airlines was not a pleasant one to say the least.",Family Leisure,Economy Class,Washington DC to Ethiopia,2022-01-01,1.0,1.0,1.0,1.0,1.0,1,no
1.0,Dimitri Vassilakis,Switzerland,2022-03-29,hostesses said there was nothing they could do,"✅ Trip Verified | Pity, because it had all started very well: modern, clean aircrafts, very good inflight service, competitive prices, but one can truly evaluate any company by the way they will handle a problem: Ethiopian is one of the few airlines offering to buy extra seats in order to enjoy extra space and I was very happy to be able to have the whole row for myself for as little as an extra 195 US dollars for a night flight, but once in the plane, the two, booked and paid for, seats were occupied by other passengers. The hostesses said there was nothing they could do, although they could have moved those persons to other empty seats or even upgrade me and simply said I should write to customer service. All my efforts have remained hopeless ever since. Never again",Solo Leisure,Economy Class,Nairobi to Paris CDG via Addis Ababa,2022-01-01,1.0,1.0,1.0,1.0,1.0,1,no
2.0,Yiota Louca,Switzerland,2022-03-29,extremely bad customer service,"Not Verified |  It's such a shame because in December I had paid a fee to change my ticket and now I can't change it again apparently even If I offer to pay the change fee. All other airlines let passengers change their tickets a minimum of two times, but I guess you want to give out bad experiences to everyone who tries to book with you. It's unacceptable that you expected me to fly last year during a time when borders were not even fully operating and you would not even let me change the destination so that I could at least fly somewhere where COVID restrictions were better. You only gave me a voucher to use within 2021 as if we were not in the middle of a global pandemic. This specific ticket I had booked with 3 other friends of mine, everyone received a refund from their airline except me and I had been battling with this case for two years now. You should at least have a policy that allows you to change your ticket if it's of a significant amount, which mine was. This is just extremely bad customer service and it's definitely sad that this image is what represents this airline. Thanks for not helping and thanks for overcharging.",Solo Leisure,Economy Class,Athens to Johannesburg via Addis Ababa,2022-03-01,0.0,0.0,0.0,0.0,0.0,1,no
4.0,P Mercer,Switzerland,2022-02-03,giving priority to its employees over passengers,"✅ Trip Verified |  Having flown on Ethiopian Airlines number of times before I knew what to expect. It was a pleasant surprise to discover that the A350 had its latest business seats which were fairly standard although hiding the remote control in a cupboard did not seem to make much sense. As I arrived, despite only half the seats being occupied at that point, all of the overhead bins occupied and many of them were larger than the size the airline allows. I asked one of the cabin crew what was happening and she conceded – very apologetically – that all of the bags belonged to crew members. I managed to squeeze my bag next to an oversized pilots’ case. There seem to be at least five pilots occupying seats largely at the front of the business cabin which, of course, meant that they were served food and drink first. If Ethiopian Airlines wants to achieve reputation for being the best airline in Africa then it should try to emulate best practice and seemingly giving priority to its employees over passengers who had paid a significant amount of money to fly business class is not the best way of doing this. The cabin crew seemed embarrassed but clearly did not feel able to challenge their pilots. Other than this irritation the flight was smooth, the service efficient, the seats comfortable and both getting on and off the aircraft went smoothly.",Business,Business Class,London to Addis Ababa,2022-01-01,5.0,5.0,5.0,0.0,5.0,3,yes
1.0,R Hadinote,Switzerland,2022-01-26,cabin crew didn't help at all,✅ Trip Verified |  Travelling with twin babies and a toddler and the cabin crew didn't help at all with anything. We were last to get of the plane because of luggage and they just watched and didn't lend a hand at all for anything.,Family Leisure,Economy Class,Gaborone to London via Addis Ababa,2022-01-01,1.0,1.0,1.0,0.0,1.0,3,no
6.0,Yoann Clerc,Switzerland,2021-12-16,Service quite messy on some legs,"✅ Trip Verified |  Brand new A350 but with old 2-2-2 C configuration. Clean and modern cabin, comfortable seat but with smaller pitch than older 777-200ER aircraft. Friendly crew. Service quite messy on some legs. Very poor catering (except good beverages): looks like Economy class food with bigger portions. A real shame to serve this to business class pax. First time I had to decline it. No traditional Ethiopian food like in the past on none of 4 legs. All flights on time. New business lounge in ADD very spacious with good amenities and food options.",Couple Leisure,Business Class,Frankfurt to Zanzibar via Addis Ababa,2021-11-01,4.0,3.0,1.0,4.0,3.0,4,yes
1.0,Viola Namwanje,Switzerland,2021-10-18,refused to respond to my refund request,"✅ Trip Verified |  I booked a flight and Ethiopian Airlines issued a ticket. After a day I heard from a friend that this airline was banned by Dubai from flying passengers from Uganda because they carried 9 passengers with expired Covid-19 results. I reached out to the airline and all they had to say is we don't have flights to Dubai. Why did they issue the tickets. Worst of all, on the flight date (17.10.2021) i received an email from the airline that the flight has operated a day before i received an email from their airport office that the flight will not operate. And they are unresponsive, they are giving different information and have refused to respond to my refund request if they cannot take me to Dubai.",Solo Leisure,Economy Class,Entebbe to Dubai via Addis Ababa,2021-10-01,0.0,0.0,0.0,0.0,0.0,1,no
1.0,U Gamsal,Switzerland,2021-10-14,Mytrip is not taking any responsibility,"✅ Trip Verified |  I booked my return tickets from Johannesburg to Delhi via za.mytrip.com last year April for 2 people, reference number (L0JVZZ) , but flight got cancelled due to covid 19, I was given vouchers and was told that if I cancel my tickets after 1 year I would get full refund otherwise there will be a penalty deducted, I had to travel twice to India since that time but have not been able to use the vouchers as flights are still not operating. I have been asking for refund for long time, but za.mytrip.com refused to pay back now. It is so pathetic, feeling so frustrated and cheated. I am just trying to get my money back. It has been 18 months now. Extremely poor customer service by these two companies.  Mytrip is not taking any responsibility or helping anymore.",Family Leisure,Economy Class,Johannesburg to Delhi via Addis Ababa,2020-11-01,0.0,0.0,0.0,0.0,0.0,1,no
1.0,John Nugent,Switzerland,2021-08-31,I have never see a lazier group of flight attendants in my life,✅ Trip Verified | I've flown Ethiopian Airlines a couple of times and have been generally satisfied. Not the best but better than many. I recently flew from ADD to IAD. This was a horrible flight. 1) A flight attendant was serving water in the cabin (nice since they confiscated all water bottles before boarding). I was seated in the back of a cabin. She ran out of water and never came back. Who cares? 2) The food and beverage service was absolutely the slowest I've ever seen in my life (out of about 100 trans-Atlantic flights). You would have had to work hard to go any slower. There were two flight attendants serving - and two standing around doing absolutely nothing. I have never see a lazier group of flight attendants in my life. 3) The food was worse than bad - inedible. The beef was nothing but grizzle and fat - I wouldn't serve this to my dog. No plan or organization for service - none. Terrible flight. Among the worst flights I've been on. The cabin crew was lazy beyond words. Avoid this airline if at all possible.,Business,Economy Class,Addis Ababa to Washington,2021-08-01,2.0,1.0,1.0,1.0,2.0,1,no
10.0,S Karzie,Switzerland,2021-08-06,a terrific airline,✅ Trip Verified |  Fantastic journey. Flew on a Q400 turbo prop from Khartoum to Addis Ababa. They served a hot meal in economy on a turboprop 2 hr flight.  From Addis Ababa to Kilimanjaro (with a stop without deplaning in Zanzibar) I also had great service in economy with a hot meal. The boarding procedure was very well organized and enforced (by boarding zone). The A350 from Addis Ababa to JRO had a great inflight entertainment selection. Ethiopian is a terrific airline.,Solo Leisure,Economy Class,Khartoum to Kilimanjaro via Addis Ababa,2021-07-01,5.0,5.0,5.0,5.0,5.0,5,yes
1.0,S Ally,Switzerland,2021-07-29,Ethiopian staff are refusing to help book new flights,✅ Trip Verified | My children are stuck in transit in Ethiopia as Ethiopian Airlines keeps delaying their next flight. They told the children that it’s because of weather but many planes are arriving and departing no worries so the weather excuse is obviously a lie. Now it’s over 12 hours! They have now missed their connecting flights and Ethiopian staff are refusing to help book new flights for them or pay for new connecting flights with the airline of the connecting flights which they missed. Disgusting. Did not even give the children a hotel to rest in even though they delayed the flight for over 12 hours.,Family Leisure,Economy Class,Kilimanjaro to Johannesburg via Addis Ababa,2021-07-01,1.0,1.0,1.0,1.0,1.0,1,no
4.0,Brent Johnson,Switzerland,2021-07-17,Average to below average,"Not Verified |  Average to below average. Dirty, dated 767 on route. No entertainment. Low calibre staff. Check in chaotic with no queue management. Online check in never works. No counters for online/no check baggage. Food globular but edible.",Business,Economy Class,Johannesburg to Addis Ababa,2021-07-01,1.0,2.0,2.0,1.0,1.0,3,no
6.0,Ned Soltz,Switzerland,2021-07-10,Good in-flight service,"✅ Trip Verified |  Due to cancellation of my KQ flight EBB-NBO-JNB, I booked a last minute seat on Ethiopian from EBB with a change in ADD. My travel agent booked this new flight in coach and I upgraded to business at airport. It was cumbersome with no agents on ground knowing what to do and finally having to speak on the phone with ET reservations. Took about 35 minutes. Ticket counter staff was courteous but clueless. I was the only business class passenger EBB-ADD. Equipment was an aging 777 with a tired interior. But seats quite comfortable and, in fact, I found the Ethiopian older business class seats far more comfortable than United's over-hyped Polaris service. Transit in ADD was fast and smooth. ET lounge was excellent, comfortable and very courteous service. There was a resting room and buffet of western and Ethiopian food. ADD-JNB flight was practically full both business and coach. A less-tired 777. Good in-flight service. Concerned that there was not a lot of mask wearing on flight and flight attendants made no attempt to enforce masking. Both flights on time. All in all, a very pleassnt surprise.",Solo Leisure,Business Class,Entebbe to Johannesburg via Addis Ababa,2021-06-01,4.0,4.0,3.0,2.0,2.0,3,yes
1.0,G Karzel,Switzerland,2021-07-04,I am chasing them for a refund,"✅ Trip Verified |  My flight for July 19th was cancelled by Ethiopian airlines, since 1 month now I am chasing them for a refund. Customer service is incompetent with basic spelling and huge English language understanding issues. If by some miracle you will get through 1h of waiting on hold to go through the customer service call you will face unbelievable issues where a simple task seems impossible to achieve and a refund status follow up is more difficult than a trip to Mars. I will never use this airline again.",Couple Leisure,Economy Class,Dubai to Zanzibar via Addis Ababa,2021-07-01,0.0,0.0,0.0,0.0,0.0,1,no
1.0,Gebresilasie Samson Habte,Switzerland,2021-06-24,can't fly due to the covid 19 restriction,"✅ Trip Verified |  I reserved a ticket to fly to Geneva from Addis Ababa for June 20 and the ticket office provided to me a print ticket. On the flight day the airline told me as I can't fly due to the covid 19 restriction that those a British passport holder's not allow to fly to Schengen countries. I didn't know nothing, no one aware and informed me just I was blindly cheeked my covid test and ready to fly with a lot of plan. After that I asked to get refund but the answer I got the airlines very frustrated and an realistic with all their misinformation.",Solo Leisure,Economy Class,Addis Ababa to Geneva,2020-10-01,0.0,0.0,0.0,0.0,2.0,1,no
1.0,G Meares,Switzerland,2021-06-16,they have completely taken advantage of the pandemic,"✅ Trip Verified |  Terrible Customer Service. Avoid at all costs. My daughter was a Peace Corps Volunteer in Madagascar, who intended to take a short trip home just prior to the pandemic. Just days before her scheduled flight, the COVID-19 pandemic triggered a massive evacuation, therefore making her trip null and void. During the process, Ethiopian offered little to no support to my daughter while on the ground in Madagascar. Nevertheless she returned home. Upon her return, we spent the next year and a half trying to negotiate a refund for her flight. First the company offered a voucher good for one year (that we would not be able to use during the pandemic). Then, I sent a series of 7 emails to various company email addresses. I was able to get a response from a reservation representative, but when I provided the requested information, she never responded, despite assigning me a case reference number. This behavior is completely unacceptable, particularly due to the inability to travel beyond our control. We chose this company in good faith and they have completely taken advantage of the pandemic and a customer who has previously traveled with this airline. We will will use this company again.",Solo Leisure,Economy Class,"Nosy Be, Madagascar to Boston via Addis Ababa",2020-07-01,2.0,2.0,0.0,0.0,1.0,1,no
3.0,Kelly Geyer,Switzerland,2021-06-07,ridiculous cheap airline,"Not Verified |  I just finished 4 flights from Vienna to Addis Ababa and then to Kenya and then the same for the return trip. On every flight, most of the screens were not working or not working properly. The staff were rude with the exception of the nice girls who were at the check-in counter in Vienna. The food was mediocre at best andseats are uncomfortable. I offered to pay for an upgrade on both the longer flights when I arrived at the airport and was told it was not possible despite there being availability. Just a ridiculous cheap airline.",Solo Leisure,Economy Class,Vienna to Nairobi via Addis Ababa,2021-06-01,1.0,2.0,2.0,1.0,3.0,3,no
10.0,Ramona Bowles,Switzerland,2021-05-25,such exemplary client care,"Not Verified |  My 85 (almost 86) year old mother was the passenger. I was just doing my best to see to it that my mom was all set, and I am astonished at how well she was treated! From Houston IAH I put my mom on a flight that stopped in Dulles. Over the phone, I was doing my best to help her manage her flight from Dulles airport to her final destination of Zambia Africa. It was nerve wracking, but the crew stepped up and managed everything with such kindness and gentleness toward my mom, that I wanted to say thank you to Ethiopian Airlines for such exemplary client care!",Solo Leisure,Business Class,Houston to Zambia,2021-05-01,5.0,5.0,0.0,0.0,5.0,5,yes
1.0,Sonja Suhadolc,Switzerland,2021-05-17,not possible to take the souvenirs on board,"✅ Trip Verified |  We bought souvenirs (2 ebon giraffes) that we planned to transport as carry-on luggage, like we did many times before on our trips to Africa. We realise the items were slightly taller than carry-on limitations, but this was never a problem with other airlines in the past and other passengers had similar size souvenirs on board. At the check in counter, we were told that it is not possible to take the souvenirs on board and that we need to check them in. We told the employee that the items are very fragile and very expensive, he told us that the airline has separate containers for fragile items and that the souvenirs will not be damaged. We reluctantly agreed as we were not presented with any other options. On our arrival to Milan, we could immediately see that the package was handled with extreme negligence! The package was ripped od several places and it was obvious that the items inside were broken on multiple places. Now, they do not plan to make any effort to resolve the issue, even though the damage occurred solely because we followed their employee demands and assurances against our wishes.",Couple Leisure,Economy Class,Addis Ababa to Milan,2021-02-01,3.0,1.0,3.0,0.0,1.0,2,no
7.0,Emmanouil Makris,Switzerland,2021-01-30,I had enjoyable flights with Ethiopian,"✅ Trip Verified |  Both flights were on time. The seats were in a 2-2-2 configuration, with no direct aisle access of window seats. Plenty of legroom but no privacy due to the rather old seating. Sufficient entertainment system with good amount of movies and music. No wifi at all on both flights because of the aircraft type (B787-8) Crew was helpful and courteous at all times. Food was average, probably because of the pandemic it was more like premium economy. All in all, i can say I had enjoyable flights with Ethiopian.",Solo Leisure,Business Class,Athens to Sao Paulo via Addis Ababa,2021-01-01,3.0,4.0,3.0,4.0,5.0,3,yes
10.0,Paul Mercer,Switzerland,2021-01-16,this was a near-perfect flight,"✅ Trip Verified |  Given the circumstances this was a near-perfect flight. It was an A350 with the old-style side-by-side seating which, if there is nobody next to you, is probably better than the new seats. Having slept on both within several days the old seemed more comfortable than the new. Boarding was quick and painless and I was quickly served with a glass of (almost) chilled champagne. Topping it up is always a nice touch. The cabin was very clean and the surfaces had clearly been wiped. The temperature was perfect throughout – warm enough for a good sleep. I opted for the fish and although it was served on a tray, it was on a dish with metal cutlery. It would have been nice to see a printed menu but I could understand why. The cabin and flight crew were meticulous in following covid rules and the toilets were kept spotless. One of the advantages of covid flying in near-empty business sections – and therefore less chance of being near a heavy snorer. There were occasionally bumpy patches but, unlike some airlines, the pilots did not resort to switching on the seat belt sign every time or leaving it on too long. There was really nothing that one could fault with this flight and, for the price and the timing, it offered excellent value for money. The only change the airline should make is offer business passengers free wifi.",Business,Business Class,Addis Ababa to London,2021-01-01,5.0,5.0,5.0,0.0,5.0,4,yes
